ANZSCO Code,Occupation,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
3992,"Chemical, Gas, Petroleum and Power Plant Operators",12.8,21.2,35.3,8.2,18.0,1.3,2.1,1.2
3993,"Gallery, Library and Museum Technicians",11.9,50.7,2.7,5.3,21.3,4.7,1.5,1.8
3994,Jewellers,23.8,20.1,26.8,6.5,15.3,2.8,2.4,2.3
3995,Performing Arts Technicians,30.2,32.0,20.5,2.9,10.1,1.4,0.9,2.0
3996,Signwriters,25.1,33.8,19.7,6.5,8.9,2.3,1.8,1.7
3999,Other Miscellaneous Technicians and Trades Workers,30.1,28.4,18.6,9.0,8.7,3.0,0.7,1.6
4111,Ambulance Officers and Paramedics,37.2,23.8,18.7,7.9,6.6,2.9,1.6,1.4
4112,"Dental Hygienists, Technicians and Therapists",25.4,17.8,22.2,6.9,21.3,1.8,1.3,3.3
4113,Diversional Therapists,34.7,25.7,20.4,7.5,4.2,3.9,1.8,1.9
4114,Enrolled and Mothercraft Nurses,21.9,23.5,22.0,14.6,12.7,2.7,0.8,1.9
4115,Indigenous Health Workers,9.9,21.7,14.5,10.4,12.0,6.8,17.8,6.8
4116,Massage Therapists,35.6,24.9,20.9,6.2,9.1,1.7,0.6,1.0
4117,Welfare Support Workers,26.4,22.1,22.0,9.7,12.8,2.7,2.7,1.6
4211,Child Carers,34.7,22.5,24.7,6.1,7.7,1.1,1.1,2.2
4221,Education Aides,22.9,28.0,19.9,7.9,15.4,2.8,1.4,1.7
4231,Aged and Disabled Carers,29.7,24.4,20.4,9.7,10.8,3.0,1.0,1.1
4232,Dental Assistants,31.2,25.1,20.9,6.2,10.8,2.2,0.9,2.6
4233,Nursing Support and Personal Care Workers,29.2,26.9,23.1,5.6,10.9,2.6,0.6,1.0
4234,Special Care Workers,14.5,18.4,29.9,6.7,17.9,4.3,5.0,3.3
4311,Bar Attendants and Baristas,33.7,22.9,23.0,4.9,11.7,1.6,0.6,1.5
4312,Cafe Workers,29.9,21.6,22.7,8.1,13.7,2.1,0.9,1.1
4313,Gaming Workers,21.8,34.9,22.3,5.5,6.4,2.4,4.4,2.3
4314,Hotel Service Managers,25.4,26.9,27.7,3.4,10.2,3.5,1.6,1.3
4315,Waiters,30.0,30.0,19.9,7.3,7.8,2.4,0.5,2.1
4319,Other Hospitality Workers,30.8,17.8,19.8,7.4,17.5,2.4,2.2,2.2
4411,Defence Force Members - Other Ranks,28.9,9.6,32.5,7.9,7.9,0.4,7.7,5.0
4412,Fire and Emergency Workers,26.5,29.3,18.1,5.9,12.6,3.2,2.5,1.8
4413,Police,28.4,24.3,20.4,7.6,10.4,2.1,4.2,2.6
4421,Prison Officers,30.4,20.7,19.8,7.6,15.5,1.3,4.3,0.5
4422,Security Officers and Guards,27.1,24.2,21.1,7.2,13.1,1.8,2.5,3.0
4511,Beauty Therapists,33.1,25.7,20.7,5.6,12.3,1.6,0.4,0.6
4512,Driving Instructors,45.3,19.8,13.4,4.8,10.8,1.8,1.7,2.6
4513,Funeral Workers,33.8,27.0,19.1,3.6,9.0,3.2,2.1,2.1
4514,"Gallery, Museum and Tour Guides",34.1,16.2,16.7,5.9,11.3,6.6,6.1,3.1
4515,Personal Care Consultants,43.8,20.8,8.5,4.8,15.5,2.2,2.1,2.1
4516,Tourism and Travel Advisers,36.8,21.0,20.3,5.6,11.9,2.2,0.9,1.3
4517,Travel Attendants,42.3,21.4,20.4,3.4,8.3,1.1,1.4,1.8
4518,Other Personal Service Workers,38.4,21.6,24.1,5.6,8.6,0.5,0.4,0.7
4521,Fitness Instructors,38.3,19.9,18.7,7.9,11.3,1.2,0.5,2.2
4522,Outdoor Adventure Guides,21.3,30.4,18.2,7.7,12.9,4.1,2.7,2.8
4523,"Sports Coaches, Instructors and Officials",39.5,28.3,14.4,4.5,9.5,1.1,0.4,2.3
4524,Sportspersons,39.2,24.8,12.2,5.4,13.9,1.5,1.3,1.7
5111,"Contract, Program and Project Administrators",28.6,22.6,21.1,6.6,12.9,1.4,1.4,5.3
5121,Office Managers,28.6,25.2,22.6,7.2,10.0,2.3,1.4,2.6
5122,Practice Managers,32.2,23.3,23.3,6.7,9.7,2.2,1.0,1.5
5211,Personal Assistants,34.9,26.4,17.9,6.4,7.8,1.5,0.8,4.4
5212,Secretaries,40.5,15.9,16.8,9.2,11.9,1.7,1.7,2.3
5311,General Clerks,31.1,23.2,19.4,6.5,10.8,2.2,1.5,5.3
5321,Keyboard Operators,26.9,27.2,23.8,7.9,9.4,2.2,1.1,1.5
5411,Call or Contact Centre Workers,24.0,27.0,26.6,9.1,8.1,3.2,0.5,1.5
5412,Information Officers,34.1,31.6,17.1,5.4,8.1,1.6,0.7,1.4
5421,Receptionists,29.9,27.3,22.4,6.3,9.6,1.9,1.0,1.6
5511,Accounting Clerks,32.1,24.2,20.0,5.6,13.1,1.8,1.1,2.2
5512,Bookkeepers,27.0,26.4,24.3,6.6,11.4,2.1,1.2,1.0
5513,Payroll Clerks,27.4,24.6,26.8,6.9,10.0,1.7,0.9,1.7
5521,Bank Workers,38.3,32.8,13.2,7.0,6.3,1.2,0.8,0.4
5522,Credit and Loans Officers,38.3,30.8,18.7,5.4,4.3,1.4,0.3,0.7
5523,"Insurance, Money Market and Statistical Clerks",36.9,25.1,21.3,5.9,7.5,1.4,0.5,1.4
5611,Betting Clerks,34.8,13.0,12.7,8.3,7.0,7.0,12.2,5.0
5612,Couriers and Postal Deliverers,31.5,23.3,21.5,8.2,10.9,2.4,0.6,1.5
5613,Filing and Registry Clerks,30.4,22.0,17.3,9.7,14.8,1.3,1.2,3.3
